"Monitoring_Site","Date","Temperature_C"
"309BLA",2014-04-30,19.8
"309DAV",2014-05-14,21.27
"309BLA",2014-05-28,19.65
"309SSP",2014-05-28,19
"309DAV",2014-06-18,21.56
"309BLA",2014-06-25,20.2
"309SSP",2014-06-25,20.6
"309DAV",2014-07-09,21.7
"309SAC",2014-07-29,21.2
"309SAG",2014-07-29,20.5
"309BLA",2014-07-30,19.7
"309SSP",2014-07-30,22.4
"309DAV",2014-08-20,18.89
"309BLA",2014-08-28,21.3
"309SSP",2014-08-28,22.6
"309SDD",2014-09-04,18.95
"309SDD",2014-09-09,19.65
"309SDD",2014-09-16,23.35
"309DAV",2014-09-17,20.94
"309SAC",2014-09-23,18.5
"309SAG",2014-09-23,18.1
"309SDD",2014-09-23,21.05
"309BLA",2014-09-24,21.3
"309SSP",2014-09-24,22.9
"309SDD",2014-09-30,22.005
"309BLA",2014-10-29,17.25
"309SSP",2014-10-29,18.9
"309DAV",2014-11-12,16.2
"309SAC",2014-11-18,19.8
"309SAG",2014-11-18,19.4
"309SSP",2014-11-18,21.4
"309BLA",2014-11-19,14.7
"309BLA",2014-12-02,14.05
"309SSP",2014-12-02,14.5
"309DAV",2014-12-10,16.62
"309SDD",2015-01-13,18.7
"309SDD",2015-01-20,16.95
"309DAV",2015-01-21,16.895
"309SAC",2015-01-27,16.1
"309SAG",2015-01-27,16.1
"309SDD",2015-01-27,16.35
"309SSP",2015-01-27,17.2
"309BLA",2015-01-28,11.35
"309SDD",2015-02-03,21.65
"309DAV",2015-02-18,17.72
"309SSP",2015-02-24,19
"309BLA",2015-02-25,13.2
"309DAV",2015-03-18,21.76
"309SSP",2015-03-24,21.1
"309BLA",2015-03-25,18.9
"309DAV",2015-04-14,22.66
"309BLA",2015-04-28,18.2
"309SAC",2015-04-29,17.2
"309SAG",2015-04-29,17.2
"309SSP",2015-04-29,18.3
"309SSP",2015-05-26,18.9
"309BLA",2015-05-27,15
"309DAV",2015-06-09,20.91
"309DAV",2015-06-10,26.52
"309SAC",2015-06-23,23.3
"309SAG",2015-06-23,23.3
"309SSP",2015-06-23,19.4
"309BLA",2015-06-24,17.95
"309DAV",2015-07-08,24.985
"309SSP",2015-07-28,23.3
"309BLA",2015-07-29,16.45
"309DAV",2015-08-19,25.06
"309SAC",2015-08-25,25.6
"309SAG",2015-08-25,25.6
"309SSP",2015-08-25,23.3
"309BLA",2015-08-26,20.45
"309SDD",2015-09-02,24.285
"309SDD",2015-09-09,25.535
"309SDD",2015-09-16,21.02
"309SDD",2015-09-23,25
"309SSP",2015-09-29,20
"309BLA",2015-09-30,18.4
"309SDD",2015-09-30,25.1
"309SAC",2015-10-27,20.6
"309SAG",2015-10-27,18.3
"309SSP",2015-10-27,22.8
"309BLA",2015-10-28,20.15
"309SDD",2015-11-03,16.53
"309DAV",2015-11-10,16.74
"309BLA",2015-11-16,15.1
"309SSP",2015-11-16,15.6
"309DAV",2015-12-09,16.92
"309BLA",2015-12-15,5.03
"309SAC",2015-12-15,4.4
"309SAG",2015-12-15,4.4
"309SSP",2015-12-15,3.5
"309SDD",2015-12-29,13.22
"309BLA",2015-12-30,4.72
"309DAV",2016-01-13,16.38
"309SAC",2016-01-20,12.2
"309SAG",2016-01-20,12.2
"309BLA",2016-01-21,16.6
"309SSP",2016-01-21,11.1
"309SDD",2016-01-27,17.97
"309DAV",2016-02-10,19.78
"309SDD",2016-02-18,13.345
"309BLA",2016-02-23,23.05
"309SSP",2016-02-23,21.8
"309SDD",2016-02-25,11.595
"309SDD",2016-03-02,11.555
"309DAV",2016-03-09,17.055
"309SDD",2016-03-09,12.35
